sample,test.result.1,test.result.2,test.result.3,conformity
P09.W74,y,y,a,FALSE
P09.W75,n,n,n,TRUE
P09.W76,y,y,y,TRUE
P09.W77,y,y,y,TRUE
P09.W78,y,y,y,TRUE
P09.W79,y,y,y,TRUE
P09.W80,y,y,y,TRUE
P09.W81,y,y,y,TRUE
P09.W82,y,y,y,TRUE
P09.W83,y,y,y,TRUE
P09.W84,n,a,a,FALSE
P09.W85,y,y,y,TRUE
P09.W86,y,y,y,TRUE
P09.W88,y,y,y,TRUE
P09.W89,y,y,y,TRUE
P09.W90,y,y,y,TRUE
P09.W91,y,y,y,TRUE
P09.W92,y,y,y,TRUE
P09.W93,y,y,y,TRUE
P09.W94,y,y,y,TRUE
P09.W95,y,y,y,TRUE
P09.W96,y,y,y,TRUE
P10.W01,y,y,y,TRUE
P10.W03,y,y,y,TRUE
P10.W04,y,y,y,TRUE
P10.W05,y,y,y,TRUE
P10.W06,y,y,y,TRUE
P10.W07,y,y,a,FALSE
P10.W08,y,y,y,TRUE
P10.W09,y,y,y,TRUE
P10.W10,y,y,y,TRUE
P10.W11,y,y,y,TRUE
P10.W13,y,y,y,TRUE
P10.W14,y,y,y,TRUE
P10.W15,y,y,y,TRUE
P10.W16,y,y,y,TRUE
P10.W17,y,y,a,FALSE
P10.W18,y,y,y,TRUE
P10.W19,y,y,y,TRUE
P10.W20,y,y,y,TRUE
P10.W21,y,y,y,TRUE
P10.W22,y,y,y,TRUE
P10.W23,y,y,y,TRUE
P10.W24,y,y,y,TRUE
P10.W25,y,y,y,TRUE
P10.W26,y,y,y,TRUE
P10.W27,y,y,y,TRUE
P10.W28,y,y,y,TRUE
P10.W29,y,y,y,TRUE
P10.W30,y,y,y,TRUE
P10.W31,y,y,y,TRUE
P10.W32,y,y,y,TRUE
P10.W33,y,y,y,TRUE
P10.W34,y,y,y,TRUE
P10.W35,y,y,y,TRUE
P10.W36,y,y,y,TRUE
P10.W37,y,y,y,TRUE
P10.W38,y,y,a,FALSE
P10.W39,y,y,y,TRUE
P10.W40,y,y,y,TRUE
P10.W41,y,y,y,TRUE
P10.W42,y,y,y,TRUE
P10.W43,y,y,y,TRUE
P10.W44,y,y,y,TRUE
P10.W45,y,y,y,TRUE
P10.W46,y,y,y,TRUE
P10.W47,y,y,a,FALSE
P10.W48,y,y,a,FALSE
P10.W49,y,y,y,TRUE
P10.W50,y,y,y,TRUE
P10.W51,y,y,y,TRUE
P10.W52,y,y,y,TRUE
P10.W53,y,y,y,TRUE
P10.W54,y,y,y,TRUE
P10.W55,y,y,y,TRUE
P10.W56,y,y,y,TRUE
P10.W57,y,y,a,FALSE
P10.W58,y,y,y,TRUE
P10.W59,y,y,y,TRUE
P10.W60,y,y,y,TRUE
P10.W61,y,y,a,FALSE
P10.W62,y,y,y,TRUE
P10.W63,y,y,y,TRUE
P10.W64,y,y,y,TRUE
P10.W65,y,y,y,TRUE
P10.W66,y,y,y,TRUE
P10.W67,y,y,y,TRUE
P10.W68,y,y,y,TRUE
P10.W69,y,y,y,TRUE
P10.W70,y,y,y,TRUE
P10.W71,y,y,y,TRUE
P10.W72,y,y,y,TRUE
P10.W73,y,y,y,TRUE
P10.W74,y,y,y,TRUE
P10.W75,y,y,y,TRUE
P10.W76,y,y,a,FALSE
P10.W77,y,y,y,TRUE
P10.W78,y,y,y,TRUE
P10.W79,y,y,y,TRUE
P10.W80,y,y,y,TRUE
P10.W81,y,y,y,TRUE
P10.W82,y,y,y,TRUE
P10.W83,y,y,y,TRUE
P10.W84,a,y,a,FALSE
P10.W85,y,y,y,TRUE
P10.W86,y,y,y,TRUE
P10.W88,y,y,y,TRUE
P10.W89,y,y,y,TRUE
P10.W90,y,y,a,FALSE
P10.W91,y,y,y,TRUE
P10.W92,y,y,y,TRUE
P10.W93,y,y,y,TRUE
P10.W94,y,y,y,TRUE
P10.W95,y,y,y,TRUE
P10.W96,y,a,y,FALSE
P11.W01,y,y,y,TRUE
P11.W03,y,y,y,TRUE
P11.W04,y,y,y,TRUE
P11.W05,y,y,y,TRUE
P11.W06,y,y,y,TRUE
P11.W07,y,y,y,TRUE
P11.W08,y,y,y,TRUE
P11.W09,y,y,y,TRUE
P11.W10,y,a,y,FALSE
P11.W11,y,y,y,TRUE
P11.W12,n,n,n,TRUE
P11.W13,y,y,y,TRUE
P11.W14,y,y,y,TRUE
P11.W15,y,y,y,TRUE
P11.W16,y,y,y,TRUE
P11.W17,y,y,a,FALSE
P11.W18,y,y,y,TRUE
P11.W19,y,y,y,TRUE
P11.W20,y,y,y,TRUE
P11.W21,y,y,y,TRUE
P11.W22,y,y,y,TRUE
P11.W23,y,y,y,TRUE
P11.W24,y,y,y,TRUE
P11.W25,y,y,y,TRUE
P11.W26,y,y,y,TRUE
P11.W27,y,y,y,TRUE
P11.W28,y,y,y,TRUE
P11.W29,y,y,y,TRUE
P11.W30,y,y,y,TRUE
P11.W31,y,y,y,TRUE
P11.W32,y,y,y,TRUE
P11.W33,y,y,y,TRUE
P11.W34,y,y,y,TRUE
P11.W35,y,y,y,TRUE
P11.W36,y,y,y,TRUE
P11.W37,y,y,y,TRUE
P11.W38,y,y,y,TRUE
P11.W39,y,y,y,TRUE
P11.W40,y,y,y,TRUE
P11.W41,y,y,y,TRUE
P11.W42,y,y,y,TRUE
P11.W43,y,y,y,TRUE
P11.W44,y,y,y,TRUE
P11.W45,y,y,y,TRUE
P11.W46,y,y,y,TRUE
P11.W47,y,y,y,TRUE
P11.W48,y,y,y,TRUE
P11.W49,y,y,y,TRUE
P11.W50,y,a,y,FALSE
P11.W51,y,y,y,TRUE
P11.W52,y,y,y,TRUE
P11.W53,y,y,y,TRUE
P11.W54,y,y,y,TRUE
P11.W55,y,y,y,TRUE
P11.W56,y,y,y,TRUE
P11.W57,y,y,y,TRUE
P11.W58,y,y,y,TRUE
P11.W59,y,y,y,TRUE
P11.W60,y,y,y,TRUE
P11.W61,y,y,y,TRUE
P11.W62,y,y,y,TRUE
P11.W63,y,y,y,TRUE
P11.W64,y,y,y,TRUE
P11.W65,y,y,y,TRUE
P11.W66,y,y,y,TRUE
P11.W67,y,y,y,TRUE
P11.W68,y,y,y,TRUE
P11.W69,y,y,y,TRUE
P11.W70,y,y,y,TRUE
P11.W71,y,a,a,FALSE
P11.W72,y,y,y,TRUE
P11.W73,y,y,y,TRUE
P11.W74,y,y,y,TRUE
P11.W75,y,y,y,TRUE
P11.W76,y,y,y,TRUE
P11.W77,y,y,y,TRUE
P11.W78,y,y,y,TRUE
P11.W79,y,y,y,TRUE
P11.W80,y,y,y,TRUE
P11.W81,y,y,y,TRUE
P11.W82,y,y,y,TRUE
P11.W83,y,y,y,TRUE
P11.W84,n,a,a,FALSE
P11.W85,y,a,y,FALSE
P11.W86,y,y,y,TRUE
P11.W88,y,y,y,TRUE
P11.W89,y,y,y,TRUE
P11.W90,y,y,y,TRUE
P11.W91,y,y,y,TRUE
P11.W92,y,y,y,TRUE
P11.W93,y,y,y,TRUE
P11.W94,y,y,y,TRUE
P11.W95,y,y,y,TRUE
P11.W96,y,y,a,FALSE
P12.W01,y,y,y,TRUE
P12.W02,y,y,y,TRUE
P12.W03,y,y,a,FALSE
P12.W04,y,y,y,TRUE
P12.W05,y,y,y,TRUE
P12.W06,y,y,y,TRUE
P12.W07,y,y,y,TRUE
P12.W08,y,y,y,TRUE
P12.W09,y,y,y,TRUE
P12.W10,y,y,y,TRUE
P12.W11,y,y,y,TRUE
P12.W12,a,a,a,TRUE
P12.W13,y,y,y,TRUE
P12.W14,y,y,y,TRUE
P12.W15,y,y,y,TRUE
P12.W16,y,y,y,TRUE
P12.W17,y,a,a,FALSE
P12.W18,a,a,a,TRUE
P12.W19,y,y,y,TRUE
P12.W20,y,y,y,TRUE
P12.W21,y,y,y,TRUE
P12.W22,y,y,y,TRUE
P12.W23,y,y,y,TRUE
P12.W24,y,y,y,TRUE
P12.W25,y,y,y,TRUE
P12.W26,y,y,y,TRUE
P12.W27,y,y,y,TRUE
P12.W28,y,y,y,TRUE
P12.W29,y,y,y,TRUE
P12.W30,y,y,y,TRUE
P12.W31,y,y,y,TRUE
P12.W32,y,y,y,TRUE
P12.W33,y,y,y,TRUE
P12.W34,y,y,y,TRUE
P12.W35,y,y,y,TRUE
P12.W36,y,y,y,TRUE
P12.W37,y,y,y,TRUE
P12.W38,y,y,y,TRUE
P12.W39,y,y,y,TRUE
P12.W40,y,y,y,TRUE
P12.W41,y,y,y,TRUE
P12.W42,y,y,y,TRUE
P12.W43,y,y,y,TRUE
P12.W44,y,y,y,TRUE
P12.W45,y,y,y,TRUE
P12.W46,y,y,y,TRUE
P12.W47,y,y,y,TRUE
P12.W48,y,y,y,TRUE
P12.W49,y,y,y,TRUE
P12.W50,y,y,y,TRUE
P12.W51,y,y,a,FALSE
P12.W52,y,y,y,TRUE
P12.W53,y,y,y,TRUE
P12.W54,y,y,a,FALSE
P12.W55,y,y,y,TRUE
P12.W56,y,y,y,TRUE
P12.W57,y,y,y,TRUE
P12.W58,y,y,y,TRUE
P12.W59,y,y,y,TRUE
P12.W60,y,y,y,TRUE
P12.W61,y,y,y,TRUE
P12.W62,y,y,y,TRUE
P12.W63,y,y,y,TRUE
P12.W64,y,y,y,TRUE
P12.W65,y,y,y,TRUE
P12.W66,y,y,y,TRUE
P12.W67,y,y,y,TRUE
P12.W68,y,y,y,TRUE
P12.W69,y,y,y,TRUE
P12.W70,y,y,y,TRUE
P12.W71,a,y,y,FALSE
P12.W72,y,y,y,TRUE
P12.W73,y,y,a,FALSE
P12.W74,y,y,y,TRUE
P12.W75,a,a,a,TRUE
P12.W76,y,y,y,TRUE
P12.W77,y,y,y,TRUE
P12.W78,y,y,y,TRUE
P12.W79,y,y,y,TRUE
P12.W80,y,y,y,TRUE
P12.W81,y,y,y,TRUE
P12.W82,y,y,y,TRUE
P12.W83,y,y,y,TRUE
P12.W84,n,n,a,FALSE
P12.W85,y,y,a,FALSE
P12.W86,y,y,y,TRUE
P12.W88,y,y,y,TRUE
P12.W89,y,y,y,TRUE
P12.W90,y,y,y,TRUE
P12.W91,y,y,y,TRUE
P12.W92,y,y,y,TRUE
P12.W93,y,y,y,TRUE
P12.W94,y,y,y,TRUE
P12.W95,y,y,y,TRUE
P12.W96,y,y,y,TRUE
P13.W01,y,y,y,TRUE
P13.W02,y,y,a,FALSE
P13.W03,a,y,a,FALSE
P13.W04,a,y,a,FALSE
P13.W05,y,a,y,FALSE
P13.W06,a,a,a,TRUE
P13.W07,y,y,y,TRUE
P13.W08,y,y,y,TRUE
P13.W09,y,a,a,FALSE
P13.W10,a,n,a,FALSE
P13.W11,y,y,y,TRUE
P13.W12,a,a,a,TRUE
P13.W13,y,y,a,FALSE
P13.W14,y,y,y,TRUE
P13.W15,y,y,y,TRUE
P13.W16,y,a,a,FALSE
P13.W17,y,a,y,FALSE
P13.W18,y,a,a,FALSE
P13.W19,y,a,y,FALSE
P13.W20,y,y,y,TRUE
P13.W21,a,a,a,TRUE
P13.W22,a,a,a,TRUE
P13.W23,y,y,y,TRUE
P13.W24,y,y,a,FALSE
P13.W25,y,y,y,TRUE
P13.W26,y,y,a,FALSE
P13.W27,y,y,y,TRUE
P13.W28,y,y,a,FALSE
P13.W29,a,a,a,TRUE
P13.W30,y,y,y,TRUE
P13.W31,y,y,a,FALSE
P13.W32,y,a,y,FALSE
P13.W33,a,y,a,FALSE
P13.W34,y,a,a,FALSE
P13.W35,y,y,y,TRUE
P13.W36,y,y,a,FALSE
P13.W37,y,y,y,TRUE
P13.W38,y,a,a,FALSE
P13.W39,y,y,y,TRUE
P13.W40,a,a,a,TRUE
P13.W41,y,a,a,FALSE
P13.W42,y,y,y,TRUE
P13.W43,y,y,y,TRUE
P13.W44,y,a,a,FALSE
P13.W45,a,a,a,TRUE
P13.W46,a,y,y,FALSE
P13.W47,y,a,a,FALSE
P13.W48,y,y,y,TRUE
P13.W49,y,y,y,TRUE
P13.W50,y,a,y,FALSE
P13.W51,y,a,y,FALSE
P13.W52,y,a,y,FALSE
P13.W53,y,a,a,FALSE
P13.W54,y,a,a,FALSE
P13.W55,y,y,y,TRUE
P13.W56,y,y,y,TRUE
P13.W57,a,a,a,TRUE
P13.W58,n,a,a,FALSE
P13.W59,y,a,a,FALSE
P13.W60,y,y,y,TRUE
P13.W61,y,a,y,FALSE
P13.W62,y,y,y,TRUE
P13.W63,y,y,a,FALSE
P13.W64,a,a,a,TRUE
P13.W65,y,a,y,FALSE
P13.W66,y,y,y,TRUE
P13.W67,y,y,a,FALSE
P13.W68,y,a,a,FALSE
P13.W69,y,a,a,FALSE
P13.W70,y,y,a,FALSE
P13.W71,y,a,y,FALSE
P13.W72,y,y,a,FALSE
P13.W73,y,y,y,TRUE
P13.W74,y,y,y,TRUE
P13.W75,y,y,y,TRUE
P13.W76,a,a,a,TRUE
P13.W77,a,a,a,TRUE
P13.W78,y,a,a,FALSE
P13.W79,y,a,y,FALSE
P13.W80,y,a,a,FALSE
P13.W81,y,a,a,FALSE
P13.W82,a,a,a,TRUE
P13.W83,y,y,y,TRUE
P13.W84,y,a,y,FALSE
P13.W85,y,y,y,TRUE
P13.W86,y,y,y,TRUE
P13.W87,y,a,a,FALSE
P13.W88,y,a,a,FALSE
P13.W89,a,a,a,TRUE
P13.W90,y,a,y,FALSE
P13.W91,y,y,y,TRUE
P13.W92,y,a,a,FALSE
P13.W93,a,y,a,FALSE
P13.W94,a,a,a,TRUE
P13.W95,y,y,y,TRUE
P13.W96,y,y,y,TRUE
P14.W01,y,y,y,TRUE
P14.W05,y,y,y,TRUE
P14.W06,y,y,y,TRUE
P14.W07,y,y,y,TRUE
P14.W08,y,y,y,TRUE
P14.W09,y,y,y,TRUE
P14.W10,y,y,y,TRUE
P14.W11,y,y,y,TRUE
P14.W13,y,y,y,TRUE
P14.W14,y,y,y,TRUE
P14.W15,y,y,y,TRUE
P14.W16,y,y,y,TRUE
P14.W17,y,y,y,TRUE
P14.W18,y,y,y,TRUE
P14.W19,y,y,y,TRUE
P14.W20,y,y,y,TRUE
P14.W21,y,y,y,TRUE
P14.W22,y,y,y,TRUE
P14.W23,y,y,y,TRUE
P14.W24,y,y,y,TRUE
P14.W28,y,y,y,TRUE
P14.W29,y,y,y,TRUE
P14.W30,y,y,y,TRUE
P14.W31,y,y,y,TRUE
P14.W32,y,y,y,TRUE
P14.W33,y,y,y,TRUE
P14.W34,y,y,y,TRUE
P14.W35,y,a,y,FALSE
P14.W36,y,y,y,TRUE
P14.W38,y,y,y,TRUE
P14.W39,y,y,y,TRUE
P14.W40,y,y,y,TRUE
P14.W41,y,y,y,TRUE
P14.W42,y,y,y,TRUE
P14.W43,y,y,y,TRUE
P14.W44,y,y,y,TRUE
P14.W45,y,y,y,TRUE
P14.W46,y,y,y,TRUE
P14.W47,y,y,y,TRUE
P14.W48,y,y,y,TRUE
P14.W50,y,y,y,TRUE
P14.W51,y,y,y,TRUE
P14.W52,y,y,y,TRUE
P14.W53,y,y,y,TRUE
P14.W54,y,y,y,TRUE
P14.W55,y,y,y,TRUE
P14.W57,y,y,y,TRUE
P14.W58,y,y,y,TRUE
P14.W59,y,y,y,TRUE
P14.W60,y,y,y,TRUE
P14.W61,y,y,y,TRUE
P14.W62,y,y,y,TRUE
P14.W64,y,y,y,TRUE
P14.W65,y,y,y,TRUE
P14.W66,y,y,y,TRUE
P14.W68,y,y,y,TRUE
P14.W69,y,y,y,TRUE
P14.W70,y,y,y,TRUE
P14.W71,y,y,y,TRUE
P14.W72,y,y,y,TRUE
P14.W73,y,y,y,TRUE
P14.W74,y,y,y,TRUE
P14.W75,y,y,y,TRUE
P14.W76,y,y,y,TRUE
P14.W77,y,y,a,FALSE
P14.W78,y,y,y,TRUE
P14.W79,y,y,y,TRUE
P14.W80,y,y,y,TRUE
P14.W81,y,y,y,TRUE
P14.W82,y,y,y,TRUE
P14.W84,n,a,a,FALSE
P14.W85,y,y,y,TRUE
P14.W86,y,y,y,TRUE
P14.W88,y,y,y,TRUE
P14.W89,y,y,y,TRUE
P14.W90,y,y,y,TRUE
P14.W91,y,y,y,TRUE
P14.W92,y,y,y,TRUE
P14.W95,y,y,y,TRUE
P14.W96,y,y,y,TRUE
P15.W01,y,y,y,TRUE
P15.W05,y,y,y,TRUE
P15.W07,y,y,y,TRUE
P15.W08,y,y,y,TRUE
P15.W10,y,y,y,TRUE
P15.W11,y,y,y,TRUE
P15.W13,y,y,y,TRUE
P15.W15,y,y,y,TRUE
P15.W16,y,y,y,TRUE
P15.W17,y,y,y,TRUE
P15.W18,y,y,y,TRUE
P15.W19,y,y,y,TRUE
P15.W20,y,y,y,TRUE
P15.W21,y,y,y,TRUE
P15.W23,y,y,y,TRUE
P15.W24,y,y,y,TRUE
P15.W25,y,y,y,TRUE
P15.W26,y,y,y,TRUE
P15.W30,y,y,y,TRUE
P15.W31,y,y,y,TRUE
P15.W32,y,y,y,TRUE
P15.W33,y,y,y,TRUE
P15.W34,y,y,y,TRUE
P15.W35,y,y,y,TRUE
P15.W38,y,y,y,TRUE
P15.W39,y,y,a,FALSE
P15.W40,y,y,y,TRUE
P15.W42,y,y,y,TRUE
P15.W43,y,y,y,TRUE
P15.W44,y,y,y,TRUE
P15.W45,y,y,y,TRUE
P15.W46,y,y,y,TRUE
P15.W47,y,y,y,TRUE
P15.W48,y,y,y,TRUE
P15.W50,y,y,y,TRUE
P15.W51,y,y,y,TRUE
P15.W52,y,y,y,TRUE
P15.W53,y,y,y,TRUE
P15.W54,y,y,y,TRUE
P15.W55,y,y,y,TRUE
P15.W56,y,y,y,TRUE
P15.W60,y,y,y,TRUE
P15.W61,y,y,y,TRUE
P15.W64,y,y,y,TRUE
P15.W65,y,y,y,TRUE
P15.W66,y,y,y,TRUE
P15.W67,y,y,y,TRUE
P15.W68,y,y,y,TRUE
P15.W70,y,y,y,TRUE
P15.W71,a,y,y,FALSE
P15.W72,y,y,y,TRUE
P15.W73,y,y,y,TRUE
P15.W74,y,y,y,TRUE
P15.W75,y,y,y,TRUE
P15.W77,y,y,y,TRUE
P15.W78,y,y,y,TRUE
P15.W79,y,y,y,TRUE
P15.W80,y,y,y,TRUE
P15.W81,y,y,y,TRUE
P15.W82,y,y,y,TRUE
P15.W83,y,y,y,TRUE
P15.W84,a,a,a,TRUE
P15.W85,y,y,y,TRUE
P15.W86,y,y,y,TRUE
P15.W88,y,y,y,TRUE
P15.W90,y,y,y,TRUE
P15.W91,y,y,y,TRUE
P15.W93,y,y,y,TRUE
P15.W95,y,y,y,TRUE
P15.W96,y,y,y,TRUE
P16.W01,y,y,y,TRUE
P16.W02,y,y,y,TRUE
P16.W03,y,a,a,FALSE
P16.W04,a,y,y,FALSE
P16.W05,y,y,a,FALSE
P16.W06,y,a,a,FALSE
P16.W07,a,y,a,FALSE
P16.W08,y,y,y,TRUE
P16.W09,y,a,y,FALSE
P16.W10,y,a,y,FALSE
P16.W11,y,y,y,TRUE
P16.W12,y,a,y,FALSE
P16.W13,y,y,y,TRUE
P16.W14,y,y,y,TRUE
P16.W15,y,y,y,TRUE
P16.W16,y,y,a,FALSE
P16.W17,a,a,y,FALSE
P16.W18,a,a,a,TRUE
P16.W19,y,y,y,TRUE
P16.W20,y,y,y,TRUE
P16.W21,y,y,y,TRUE
P16.W22,y,y,y,TRUE
P16.W23,y,y,y,TRUE
P16.W24,y,y,a,FALSE
P16.W25,y,y,y,TRUE
P16.W26,y,y,y,TRUE
P16.W27,y,y,y,TRUE
P16.W28,y,a,y,FALSE
P16.W29,y,y,y,TRUE
P16.W30,a,a,a,TRUE
P16.W31,y,y,y,TRUE
P16.W32,y,a,y,FALSE
P16.W33,y,y,y,TRUE
P16.W34,y,y,y,TRUE
P16.W35,y,y,y,TRUE
P16.W36,y,y,y,TRUE
P16.W37,y,y,a,FALSE
P16.W38,y,y,y,TRUE
P16.W39,y,y,y,TRUE
P16.W40,y,y,y,TRUE
P16.W41,y,y,y,TRUE
P16.W42,y,y,y,TRUE
P16.W43,y,y,y,TRUE
P16.W44,y,y,a,FALSE
P16.W45,y,y,y,TRUE
P16.W46,y,y,y,TRUE
P16.W47,y,y,y,TRUE
P16.W48,y,y,y,TRUE
P16.W49,y,y,a,FALSE
P16.W50,y,y,a,FALSE
P16.W51,y,y,y,TRUE
P16.W52,y,a,y,FALSE
P16.W53,y,y,a,FALSE
P16.W54,y,y,a,FALSE
P16.W55,y,a,a,FALSE
P16.W56,y,y,y,TRUE
P16.W57,y,y,y,TRUE
P16.W58,y,a,y,FALSE
P16.W59,y,y,a,FALSE
P16.W60,y,y,y,TRUE
P16.W61,y,y,a,FALSE
P16.W62,y,a,y,FALSE
P16.W63,y,y,y,TRUE
P16.W64,y,a,a,FALSE
P16.W65,y,y,y,TRUE
P16.W66,y,a,y,FALSE
P16.W67,y,y,a,FALSE
P16.W68,y,y,a,FALSE
P16.W69,a,y,a,FALSE
P16.W70,y,y,y,TRUE
P16.W71,a,y,y,FALSE
P16.W72,y,y,a,FALSE
P16.W73,y,y,y,TRUE
P16.W74,y,y,y,TRUE
P16.W75,y,y,y,TRUE
P16.W76,y,y,y,TRUE
P16.W77,y,a,y,FALSE
P16.W78,y,y,y,TRUE
P16.W79,y,y,y,TRUE
P16.W80,y,y,y,TRUE
P16.W81,y,y,y,TRUE
P16.W82,y,y,y,TRUE
P16.W83,y,y,y,TRUE
P16.W84,a,y,a,FALSE
P16.W85,y,y,y,TRUE
P16.W86,y,y,y,TRUE
P16.W87,y,y,y,TRUE
P16.W88,a,a,a,TRUE
P16.W89,y,y,y,TRUE
P16.W90,y,y,y,TRUE
P16.W91,y,y,y,TRUE
P16.W92,y,y,y,TRUE
P16.W93,y,y,y,TRUE
P16.W94,y,y,y,TRUE
P16.W95,y,y,y,TRUE
P16.W96,y,y,y,TRUE
P17.W01,y,y,y,TRUE
P17.W02,y,y,y,TRUE
P17.W03,y,y,y,TRUE
P17.W04,y,y,y,TRUE
P17.W05,y,y,y,TRUE
P17.W06,y,a,y,FALSE
P17.W07,y,y,y,TRUE
P17.W08,y,y,y,TRUE
P17.W09,y,y,y,TRUE
P17.W10,y,y,a,FALSE
P17.W11,y,y,y,TRUE
P17.W12,y,y,y,TRUE
P17.W13,y,y,y,TRUE
P17.W14,y,y,y,TRUE
P17.W15,y,y,y,TRUE
P17.W16,y,y,y,TRUE
P17.W17,y,a,y,FALSE
P17.W18,y,y,y,TRUE
P17.W19,y,a,y,FALSE
P17.W20,y,y,y,TRUE
P17.W21,y,y,y,TRUE
P17.W22,y,y,y,TRUE
P17.W23,y,y,y,TRUE
P17.W24,y,y,y,TRUE
P17.W25,y,y,y,TRUE
P17.W26,y,y,y,TRUE
P17.W27,y,y,y,TRUE
P17.W28,y,y,a,FALSE
P17.W29,y,y,y,TRUE
P17.W30,y,a,y,FALSE
P17.W31,y,y,y,TRUE
P17.W32,y,y,y,TRUE
P17.W33,y,y,y,TRUE
P17.W34,y,y,y,TRUE
P17.W35,y,y,y,TRUE
P17.W36,y,y,y,TRUE
P17.W37,y,y,y,TRUE
P17.W38,y,y,y,TRUE
P17.W39,y,y,y,TRUE
P17.W40,y,y,y,TRUE
P17.W41,y,y,y,TRUE
P17.W42,y,y,y,TRUE
P17.W43,y,y,y,TRUE
P17.W44,y,y,y,TRUE
P17.W45,y,y,y,TRUE
P17.W46,y,y,y,TRUE
P17.W47,y,y,y,TRUE
P17.W48,y,y,y,TRUE
P17.W49,y,y,y,TRUE
P17.W50,y,y,y,TRUE
P17.W51,y,y,y,TRUE
P17.W52,y,y,y,TRUE
P17.W53,y,y,y,TRUE
P17.W54,y,y,y,TRUE
P17.W55,y,y,y,TRUE
P17.W56,y,y,y,TRUE
P17.W57,y,y,y,TRUE
P17.W58,y,y,y,TRUE
P17.W59,y,y,y,TRUE
P17.W60,y,y,y,TRUE
P17.W61,y,y,y,TRUE
P17.W62,y,y,y,TRUE
P17.W63,y,y,y,TRUE
P17.W64,y,y,y,TRUE
P17.W65,y,y,y,TRUE
P17.W66,y,y,y,TRUE
P17.W67,y,y,y,TRUE
P17.W68,y,y,y,TRUE
P17.W69,y,y,y,TRUE
P17.W70,y,y,y,TRUE
P17.W71,y,y,y,TRUE
P17.W72,y,y,y,TRUE
P17.W73,y,y,y,TRUE
P17.W74,y,y,y,TRUE
P17.W75,y,y,y,TRUE
P17.W76,y,y,y,TRUE
P17.W77,y,y,y,TRUE
P17.W78,y,y,y,TRUE
P17.W79,y,y,y,TRUE
P17.W80,y,y,y,TRUE
P17.W81,y,y,y,TRUE
P17.W82,y,y,y,TRUE
P17.W83,y,y,y,TRUE
P17.W84,a,a,a,TRUE
P17.W85,y,y,a,FALSE
P17.W86,a,y,y,FALSE
P17.W87,y,y,y,TRUE
P17.W88,y,a,y,FALSE
P17.W89,y,y,y,TRUE
P17.W90,y,y,y,TRUE
P17.W91,y,y,y,TRUE
P17.W92,y,y,y,TRUE
P17.W93,y,y,y,TRUE
P17.W94,y,y,y,TRUE
P17.W95,y,y,y,TRUE
P17.W96,y,y,y,TRUE
P18.W01,y,a,a,FALSE
P18.W02,a,a,a,TRUE
P18.W03,y,a,a,FALSE
P18.W04,a,a,a,TRUE
P18.W05,y,a,a,FALSE
P18.W06,a,a,a,TRUE
P18.W07,y,a,a,FALSE
P18.W08,y,a,a,FALSE
P18.W09,y,a,a,FALSE
P18.W10,a,a,a,TRUE
P18.W11,y,a,y,FALSE
P18.W12,a,a,a,TRUE
P18.W13,y,y,y,TRUE
P18.W14,y,y,a,FALSE
P18.W15,y,a,y,FALSE
P18.W16,a,a,a,TRUE
P18.W17,y,a,a,FALSE
P18.W18,a,a,a,TRUE
P18.W19,y,y,a,FALSE
P18.W20,a,a,a,TRUE
P18.W21,y,a,a,FALSE
P18.W22,y,a,a,FALSE
P18.W23,a,a,a,TRUE
P18.W24,y,a,a,FALSE
P18.W25,y,a,a,FALSE
P18.W26,a,a,a,TRUE
P18.W27,y,a,a,FALSE
P18.W28,a,a,a,TRUE
P18.W29,a,a,a,TRUE
P18.W30,y,a,a,FALSE
P18.W31,a,y,y,FALSE
P18.W32,y,a,y,FALSE
P18.W33,a,y,a,FALSE
P18.W34,y,a,a,FALSE
P18.W35,y,a,a,FALSE
P18.W36,a,a,a,TRUE
P18.W37,a,a,a,TRUE
P18.W38,n,a,a,FALSE
P18.W39,y,a,a,FALSE
P18.W40,y,a,a,FALSE
P18.W41,y,a,a,FALSE
P18.W42,y,y,y,TRUE
P18.W43,y,a,a,FALSE
P18.W44,a,a,y,FALSE
P18.W45,y,a,a,FALSE
P18.W46,y,a,a,FALSE
P18.W47,a,a,a,TRUE
P18.W48,a,a,y,FALSE
P18.W49,y,a,a,FALSE
P18.W50,a,a,a,TRUE
P18.W51,a,a,a,TRUE
P18.W52,y,a,a,FALSE
P18.W53,y,y,a,FALSE
P18.W54,a,a,a,TRUE
P18.W55,y,a,y,FALSE
P18.W56,a,a,a,TRUE
P18.W57,y,y,a,FALSE
P18.W58,y,a,a,FALSE
P18.W59,a,a,a,TRUE
P18.W60,a,a,y,FALSE
P18.W61,a,a,a,TRUE
P18.W62,y,a,a,FALSE
P18.W63,y,a,a,FALSE
P18.W64,y,a,a,FALSE
P18.W65,y,a,a,FALSE
P18.W66,a,y,a,FALSE
P18.W67,y,a,a,FALSE
P18.W68,y,a,a,FALSE
P18.W69,a,a,a,TRUE
P18.W70,y,a,a,FALSE
P18.W71,a,a,a,TRUE
P18.W72,y,a,y,FALSE
P18.W73,y,a,a,FALSE
P18.W74,y,a,a,FALSE
P18.W75,a,y,a,FALSE
P18.W76,a,a,a,TRUE
P18.W77,a,a,a,TRUE
P18.W78,y,a,a,FALSE
P18.W79,y,a,a,FALSE
P18.W80,y,a,a,FALSE
